filepath,label,split,duration_s
data/processed/audio/drone/Membo_1_004-membo_000_.wav,drone,train,1.024
data/processed/audio/no_drone/1-36400-A-232.wav,no_drone,train,0.97525
data/processed/audio/drone/DJI_Mavic_Mini1_10.wav,drone,train,5.0
data/processed/audio/drone/mixed_40-bebop_001_.wav,drone,train,1.024
data/processed/audio/drone/mixed_membo_34-membo_000_.wav,drone,train,1.024
data/processed/audio/drone/mixed_membo_4-membo_001_.wav,drone,train,1.024
data/processed/audio/drone/mixed_49-bebop_000_.wav,drone,train,1.024
data/processed/audio/drone/mixed_64-bebop_004_.wav,drone,train,1.024
data/processed/audio/no_drone/1-58277-A-31.wav,no_drone,train,1.0216875
data/processed/audio/drone/mixed_24-bebop_002_.wav,drone,train,1.024
data/processed/audio/no_drone/2-118817-A-322.wav,no_drone,train,0.97525
data/processed/audio/drone/mixed_membo_11-membo_000_.wav,drone,train,1.024
data/processed/audio/drone/mixed_membo_26-membo_000_.wav,drone,train,1.024
data/processed/audio/drone/mixed_membo_31-membo_001_.wav,drone,train,1.024
data/processed/audio/no_drone/3-151557-B-283.wav,no_drone,train,1.0216875
data/processed/audio/no_drone/4-165845-A-454.wav,no_drone,train,0.95975
data/processed/audio/drone/Membo_0_010-membo_001_.wav,drone,train,1.024
data/processed/audio/drone/mixed_54-bebop_001_.wav,drone,train,1.024
data/processed/audio/no_drone/5-212730-A-170.wav,no_drone,train,1.0216875
data/processed/audio/drone/Membo_0_017-membo_003_.wav,drone,train,1.024
data/processed/audio/no_drone/4-150364-B-463.wav,no_drone,train,1.0216875
data/processed/audio/no_drone/4-201800-A-312.wav,no_drone,train,0.97525
data/processed/audio/no_drone/silence184.wav,no_drone,train,0.7430625
data/processed/audio/no_drone/3-112557-B-230.wav,no_drone,train,1.0216875
data/processed/audio/drone/mixed_membo_66-membo_000_.wav,drone,train,1.024
data/processed/audio/no_drone/1-101336-A-303.wav,no_drone,train,1.0216875
data/processed/audio/no_drone/2-151079-A-200.wav,no_drone,train,1.0216875
data/processed/audio/drone/B_S2_D1_089-bebop_004_.wav,drone,train,0.896
data/processed/audio/drone/B_S2_D1_123-bebop_002_.wav,drone,train,1.024
data/processed/audio/no_drone/4-176914-A-231.wav,no_drone,train,1.0216875
data/processed/audio/drone/mixed_membo_47-membo_001_.wav,drone,train,1.024
data/processed/audio/drone/mixed_membo_10-membo_003_.wav,drone,train,1.024
data/processed/audio/no_drone/5-180156-C-430.wav,no_drone,train,1.0216875
data/processed/audio/drone/mixed_6-bebop_002_.wav,drone,train,1.024
data/processed/audio/drone/B_S2_D1_075-bebop_000_.wav,drone,train,1.024
data/processed/audio/no_drone/3-152007-E-204.wav,no_drone,train,0.95975
data/processed/audio/no_drone/3-166326-A-152.wav,no_drone,train,0.97525
data/processed/audio/drone/Membo_0_034-membo_001_.wav,drone,train,1.024
data/processed/audio/no_drone/1-47250-B-413.wav,no_drone,train,1.0216875
data/processed/audio/drone/Membo_0_013-membo_001_.wav,drone,train,1.024
data/processed/audio/drone/mixed_64-bebop_000_.wav,drone,train,1.024
data/processed/audio/no_drone/3-154957-A-13.wav,no_drone,train,1.0216875
data/processed/audio/no_drone/4-165791-B-450.wav,no_drone,train,1.0216875
data/processed/audio/drone/extra_membo_D2_2009.wav,drone,train,1.002625
data/processed/audio/drone/mixed_membo_7-membo_001_.wav,drone,train,1.024
data/processed/audio/no_drone/4-212728-A-340.wav,no_drone,train,1.0216875
data/processed/audio/no_drone/1-34497-A-140.wav,no_drone,train,1.0216875
data/processed/audio/no_drone/5-201170-A-460.wav,no_drone,train,1.0216875
data/processed/audio/drone/B_S2_D1_116-bebop_003_.wav,drone,train,1.024
data/processed/audio/drone/mixed_50-bebop_001_.wav,drone,train,1.024
data/processed/audio/no_drone/4-175845-A-434.wav,no_drone,train,0.95975
